Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
49	:	1772302677.150	     0.005	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.7 ./512/r500/m02_07 
50	:	1772302677.153	     0.005	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.8 ./512/r500/m02_08 
51	:	1772302677.156	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.2 0.9 ./512/r500/m02_09 
52	:	1772302677.159	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.4 ./512/r500/m03_04 
53	:	1772302677.162	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.5 ./512/r500/m03_05 
54	:	1772302677.165	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.6 ./512/r500/m03_06 
55	:	1772302677.168	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.7 ./512/r500/m03_07 
56	:	1772302677.172	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.8 ./512/r500/m03_08 
57	:	1772302677.175	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.3 0.9 ./512/r500/m03_09 
58	:	1772302677.178	     0.006	0	0	1	0	FrequencyAnalysis /home/jkitzmann/data/2-28/512rs/512_DFOV_500_resampled.nii.gz /home/jkitzmann/data/2-28/passResults/mtf/512/512_DFOV_500_resampled.x.mtf_curve.csv 1024 1039 380 495 390\,488 1.0 0.4 0.5 ./512/r500/m04_05 
